,Open,High,Low,Close,Volume,LogReturn
count,4769.0,4769.0,4769.0,4769.0,4769.0,4769.0
mean,1386.0532817332644,1393.1364442517759,1378.6197316639077,1385.959068319137,5033.9479974837495,0.00032755845044462435
std,443.7156511530485,445.8342713741759,441.6908834972235,443.8243816130237,27064.839850275057,0.011279550679377831
min,538.0,539.9000244140625,535.5,539.0,0.0,-0.09820579166610166
25%,1149.800048828125,1157.0,1139.199951171875,1149.0,38.0,-0.004914386241190449
50%,1310.699951171875,1315.5999755859375,1306.0999755859375,1310.699951171875,139.0,0.000456706699239362
75%,1725.5999755859375,1734.0,1716.5,1724.9000244140625,467.0,0.006257722206492566
max,2787.39990234375,2789.0,2774.60009765625,2788.5,386334.0,0.08643165666030406
skew,0.33350077529259536,0.33282725135204505,0.3364668394211079,0.3345825448248636,7.145829271210399,-0.3394323880699402
kurtosis,0.054547962061901156,0.05148133271315691,0.05635853288389381,0.05484409545447333,56.768516660352155,5.436482029525142
